month,bunker_type,bunker_sales
1998-07,Marine Gas Oil,122.417
1998-07,Marine Diesel Oil,34.197
1998-07,Marine Fuel Oil 180 cst,298.494
1998-07,Marine Fuel Oil 380 cst,1133.319
1998-07,Marine Fuel Oil 500 cst +,0
1998-07,Low-Sulfur Marine Gas Oil,0
1998-07,Low-Sulfur Fuel Oil 100 cst,0
1998-07,Low-Sulfur Fuel Oil 180 cst,0
1998-07,Low-Sulfur Fuel Oil 380 cst,0
1998-07,Low-Sulfur Fuel Oil 500 cst,0
1998-07,Ultra Low-Sulfur Fuel Oil,0
1998-07,Others,62.483
1998-08,Marine Gas Oil,112.664
1998-08,Marine Diesel Oil,33.835
1998-08,Marine Fuel Oil 180 cst,325.925
1998-08,Marine Fuel Oil 380 cst,1050.532
1998-08,Marine Fuel Oil 500 cst +,0
1998-08,Low-Sulfur Marine Gas Oil,0
1998-08,Low-Sulfur Fuel Oil 100 cst,0
1998-08,Low-Sulfur Fuel Oil 180 cst,0
1998-08,Low-Sulfur Fuel Oil 380 cst,0
1998-08,Low-Sulfur Fuel Oil 500 cst,0
1998-08,Ultra Low-Sulfur Fuel Oil,0
1998-08,Others,69.874
1998-09,Marine Gas Oil,113.96
1998-09,Marine Diesel Oil,33.077
1998-09,Marine Fuel Oil 180 cst,271.112
1998-09,Marine Fuel Oil 380 cst,955.499
1998-09,Marine Fuel Oil 500 cst +,0
1998-09,Low-Sulfur Marine Gas Oil,0
1998-09,Low-Sulfur Fuel Oil 100 cst,0
1998-09,Low-Sulfur Fuel Oil 180 cst,0
1998-09,Low-Sulfur Fuel Oil 380 cst,0
1998-09,Low-Sulfur Fuel Oil 500 cst,0
1998-09,Ultra Low-Sulfur Fuel Oil,0
1998-09,Others,59.401
1998-10,Marine Gas Oil,98.999
1998-10,Marine Diesel Oil,32.512
1998-10,Marine Fuel Oil 180 cst,275.328
1998-10,Marine Fuel Oil 380 cst,904.479
1998-10,Marine Fuel Oil 500 cst +,0
1998-10,Low-Sulfur Marine Gas Oil,0
1998-10,Low-Sulfur Fuel Oil 100 cst,0
1998-10,Low-Sulfur Fuel Oil 180 cst,0
1998-10,Low-Sulfur Fuel Oil 380 cst,0
1998-10,Low-Sulfur Fuel Oil 500 cst,0
1998-10,Ultra Low-Sulfur Fuel Oil,0
1998-10,Others,54.059
1998-11,Marine Gas Oil,123.912
1998-11,Marine Diesel Oil,31.442
1998-11,Marine Fuel Oil 180 cst,283.671
1998-11,Marine Fuel Oil 380 cst,926.157
1998-11,Marine Fuel Oil 500 cst +,0
1998-11,Low-Sulfur Marine Gas Oil,0
1998-11,Low-Sulfur Fuel Oil 100 cst,0
1998-11,Low-Sulfur Fuel Oil 180 cst,0
1998-11,Low-Sulfur Fuel Oil 380 cst,0
1998-11,Low-Sulfur Fuel Oil 500 cst,0
1998-11,Ultra Low-Sulfur Fuel Oil,0
1998-11,Others,60.415
1998-12,Marine Gas Oil,150.563
1998-12,Marine Diesel Oil,37.937
1998-12,Marine Fuel Oil 180 cst,342.524
1998-12,Marine Fuel Oil 380 cst,1050.222
1998-12,Marine Fuel Oil 500 cst +,0
1998-12,Low-Sulfur Marine Gas Oil,0
1998-12,Low-Sulfur Fuel Oil 100 cst,0
1998-12,Low-Sulfur Fuel Oil 180 cst,0
1998-12,Low-Sulfur Fuel Oil 380 cst,0
1998-12,Low-Sulfur Fuel Oil 500 cst,0
1998-12,Ultra Low-Sulfur Fuel Oil,0
1998-12,Others,80.772
1999-01,Marine Gas Oil,125.782
1999-01,Marine Diesel Oil,34.912
